AccountID,AccountNumber,TmAccountPlanID,TmAccountID,WalletID,MainPocketSuffix,ProductType,CustomerID,TmCustomerID,Status,CdiToken
1000007,1640000089,b988ce59-42cd-6128-61a9-62e1b0dd9145,e6272fe5-dc2b-4857-b266-1d435c3d9d37,,10001,2501,107937888729,52ec5105-28ab-48d5-a604-d3d680931d4a,0,10tRKWLrxTS8aXi
1000008,1640000097,fe24b629-ef8b-e30b-4a77-1f51b850c636,10f3b8ef-b4a0-4d77-a41b-b605b2e86462,,10001,2501,107571795074,c03c44b0-3cf0-46be-884d-896073ef862b,0,10Kfy0yLLECWDTY
1000009,1640000100,a8182545-243d-8953-f344-392fead4cc87,2ecdf462-c181-4f34-8d56-0089317cf3f5,,10001,2501,116782455059,44bb4a00-5dbb-4202-87ad-1f400880d291,0,11umibf71lXeSen
1000010,1640000119,af8891c1-542b-1cf3-f7b8-70eb649482e0,aef388ee-f05d-49f3-bbeb-07a099c3cba1,,10001,2501,127544123735,22886a1e-21d0-40c5-81d1-32818031ac7a,0,12fjl3xabl2caBr
1000011,1640000127,b2945d35-875e-b22a-4739-c18275279ee5,abefa26c-ea25-42f8-a4a1-21758de2553d,,10001,2501,136907741129,6c7dd69d-147c-4730-b8c5-c156d1b3df06,0,13PSYB3NxWKqWJq
1000012,1640000135,0ac62abb-1db6-e15f-9906-0c6a634fc986,99f36bb9-c908-415c-8be1-ac6445f040ec,,10001,2501,149325531059,0f850276-b399-4536-9b67-f6f5097175fe,0,14K0gLmG9xbA9Gv
1000013,1640000143,183d3e16-6ef5-80e2-a8cb-3e486ff7838d,cf4fdfad-cbd7-4397-9036-eeff971014f1,,10001,2501,158910344687,62ce813b-ada4-4116-8c87-900ba37906b9,0,15lAMaS6yso4IZK
1000014,1640000151,6c1a3db9-beac-8492-ecef-e0097c68d9b1,812d1a06-0d9c-463c-b47f-97e9a9f1e499,,10001,2501,169337978102,5db78745-5cc5-4ad4-87b0-39034cd34e2a,0,16DjtnU4R88Gic4
1000015,1640000178,de9ce939-16df-ab30-ded3-10b04db0323f,611b6df6-50a7-470c-8c9a-a74239271b5b,,10001,2501,177854444247,1fc95b16-3616-4d48-90c4-da5ea18d6c5c,0,17WAXqroklhOvlq
1000016,1640000186,31a18695-f654-82a5-6f62-86379020040f,34e7d6c8-cde0-431b-a125-01c7874f6c39,,10001,2501,182856615353,25c2e082-15f1-4f6e-a4c2-8d4321817704,0,18RY2i6jSP8NP45
